sourceFile,link,status,notes
.github\prompts\bank.prompt.md,memory-bank/,MISSING,
.github\prompts\bank.prompt.md,memory-bank/activeContext.md,MISSING,
.github\prompts\bank.prompt.md,memory-bank/progress.md,MISSING,
.github\prompts\bank.prompt.md,.env.example,MISSING,
.github\prompts\bank.prompt.md,src/lib/env.ts,MISSING,
.github\prompts\bank.prompt.md,Copilot-Processing.md,MISSING,
.github\prompts\bank.prompt.md,src/database/seed/helpers/password-hasher.ts,MISSING,
.github\prompts\bank.prompt.md,src/database/seed/helpers/image-downloader.ts,MISSING,
.github\prompts\bank.prompt.md,src/database/seed/helpers/image-deduplicator.ts,MISSING,
.github\prompts\bank.prompt.md,users.json,MISSING,
.github\prompts\bank.prompt.md,comicsdata1.json,MISSING,
.github\prompts\bank.prompt.md,comicsdata2.json,MISSING,
.github\prompts\bank.prompt.md,chaptersdata1.json,MISSING,
.github\prompts\bank.prompt.md,chaptersdata2.json,MISSING,
.github\prompts\bank.prompt.md,validation-output.txt,MISSING,
.github\prompts\bank.prompt.md,src/database/seed/seed-runner-v4enhanced.ts,MISSING,
.github\prompts\bank.prompt.md,src/app/admin/layout.tsx,MISSING,
.github\prompts\bank.prompt.md,memory-bank/tasks/_index.md,MISSING,
.github\prompts\bank.prompt.md,samp1.txt,MISSING,
.github\prompts\bank.prompt.md,.backup/,MISSING,
.github\prompts\bank.prompt.md,chaptersdata1.json,MISSING,
.github\prompts\bank.prompt.md,samp1.txt,MISSING,
.github\prompts\plan-completion.prompt.md,src/styles/globals.css,MISSING,
.github\prompts\plan-completion.prompt.md,public/images/black.webp,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/comics/comic-card.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/comics/comic-list.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/comics/comic-filters.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/comics/comic-detail.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/api/comics/route.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/queries/author.queries.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/schema.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/mutations/author.mutations.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/api/authors/route.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/lib/actions/author.actions.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/lib/actions/comic.actions.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/queries/chapter.queries.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/mutations/chapter.mutations.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/api/chapters/route.ts,MISSING,
